Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
MHI,"LA-Y1, Tanegashima Space Center, Japan",11-02-1981,08:30:00,N-II Star-37E,Kiku 3,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",12-02-1981,18:21:00,Cosmos-3M (11K65M),Cosmos 1244,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",19-02-1981,10:00:00,Molniya-M /Block 2BL,Cosmos 1247,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",21-02-1981,00:30:00,Mu-III S,Hinotori,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",21-02-1981,23:23:00,Atlas-SLV3D Centaur-D1AR,Comstar D4,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",28-02-1981,19:15:00,Titan III(24)B,OPS 1166,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",05-03-1981,18:09:00,Tsyklon-2,Cosmos 1249,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-03-1981,11:31:00,Cosmos-3M (11K65M),Cosmos 1250 to 1257,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14-03-1981,16:55:00,Tsyklon-2,Cosmos 1258,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",16-03-1981,13:30:00,Titan III(23)C,DSP-9,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",20-03-1981,23:45:00,Tsyklon-2,Cosmos 1260,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",21-03-1981,03:45:00,Tsyklon-2,Cosmos 1266,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",24-03-1981,03:31:00,Molniya-M /Block ML,Molniya-3 n†­90,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",31-03-1981,09:39:00,Molniya-M /Block 2BL,Cosmos 1261,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",09-04-1981,12:00:00,Cosmos-3M (11K65M),Cosmos 1263,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",12-04-1981,12:00:00,Space Shuttle Columbia,STS-1,Retired,450,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",24-04-1981,21:32:00,Titan III(34)B Agena-D,Jumpseat 6,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",07-05-1981,13:21:00,Cosmos-3M (11K65M),Cosmos 1269,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14-05-1981,21:45:00,Vostok-2M,Meteor-2 n†­8,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",19-05-1981,03:49:00,Vostok-2M,Cosmos 1271,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",23-05-1981,22:42:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -501,Retired,,Success
ISRO,"SLV LP, Satish Dhawan Space Centre, India",31-05-1981,05:00:00,SLV-3,Rohini RS-D1,Retired,,Partial Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",04-06-1981,15:41:00,Cosmos-3M (11K65M),Cosmos 1275,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",09-06-1981,03:33:00,Molniya-M /Block ML,Molniya-3 n†­91,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",19-06-1981,12:33:00,Ariane 1,CAT-3 & Others,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",19-06-1981,19:37:00,Molniya-M /Block 2BL,Cosmos 1278,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",23-06-1981,10:52:00,Atlas-E/F Star-37S-ISS,NOAA-C,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",24-06-1981,17:47:00,Molniya-M /Block ML,Molniya-1 n†­92,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10-07-1981,05:14:00,Vostok-2M,Meteor-Priroda n†­5 & Iskra 1,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",04-08-1981,00:12:00,Molniya-M /Block 2BL,Cosmos 1285,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",04-08-1981,08:28:00,Tsyklon-2,Cosmos 1286,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",06-08-1981,08:16:00,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-5,Retired,,Partial Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-08-1981,11:49:00,Cosmos-3M (11K65M),Cosmos 1287 to 1294,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",07-08-1981,,Vostok-2M,Intercosmos 22,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",10-08-1981,20:03:00,N-II Star-37E,Himawari 2,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",12-08-1981,05:46:00,Cosmos-3M (11K65M),Cosmos 1295,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24-08-1981,16:37:00,Tsyklon-2,Cosmos 1299,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",24-08-1981,21:40:00,Tsyklon-3,Cosmos 1300,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-08-1981,16:18:00,Cosmos-3M (11K65M),Cosmos 1302,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",03-09-1981,18:29:00,Titan IIID,KH-11,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",11-09-1981,08:43:00,Molniya-M /Block ML,Cosmos 1305,Retired,,Partial Failure
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",14-09-1981,20:31:00,Tsyklon-2,Cosmos 1306,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",18-09-1981,03:34:00,Cosmos-3M (11K65M),Cosmos 1308,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",19-09-1981,21:28:00,Feng Bao 1,Shijian 2,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",21-09-1981,,Tsyklon-3,Aureole 3,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",23-09-1981,08:00:00,Cosmos-3M (11K65M),Cosmos 1310,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",28-09-1981,21:00:00,Cosmos-3M (11K65M),Cosmos 1311,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",30-09-1981,08:00:00,Tsyklon-3,Cosmos 1312,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",13-10-1981,23:01:00,Vostok-2M,Cosmos 1315,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",17-10-1981,05:59:00,Molniya-M /Block ML,Molniya-3 n†­94,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",31-10-1981,09:22:00,Titan III(23)C,OPS-4029 (Vortex),Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",31-10-1981,22:53:00,Molniya-M /Block 2BL,Cosmos 1317,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",12-11-1981,15:09:00,Space Shuttle Columbia,STS-2,Retired,450,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",17-11-1981,15:25:00,Molniya-M /Block ML,Molniya-1 n†­95,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",20-11-1981,,Cosmos-3M (11K65M),Bhaskara-2,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",28-11-1981,18:08:00,Cosmos-3M (11K65M),Cosmos 1320 to 1327,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",03-12-1981,11:47:00,Tsyklon-3,Cosmos 1328,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",04-12-1981,11:06:00,Cosmos-3M (11K65M),Cosmos 1304,Retired,,Partial Failure
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",15-12-1981,23:35:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -503,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17-12-1981,,Cosmos-3M (11K65M),Radio-Sputnik 3 to 8,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",19-12-1981,01:10:00,Atlas-E/F SGS-1,GPS-7,Retired,,Failure
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",20-12-1981,01:29:00,Ariane 1,MARCES-1 & CAT-4,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23-12-1981,13:15:00,Molniya-M /Block ML,Molniya-1 n†­96,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",07-01-1982,15:38:00,Cosmos-3M (11K65M),Cosmos 1331,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",14-01-1982,07:51:00,Cosmos-3M (11K65M),Cosmos 1333,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",21-01-1982,19:36:00,Titan III(24)B,OPS 2849,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",29-01-1982,11:00:00,Cosmos-3M (11K65M),Cosmos 1335,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",11-02-1982,01:11:00,Tsyklon-2,Cosmos 1337,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17-02-1982,21:56:00,Cosmos-3M (11K65M),Cosmos 1339,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",19-02-1982,01:42:00,Vostok-2M,Cosmos 1340,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",26-02-1982,20:10:00,Molniya-M /Block ML,Molniya-1 n†­97,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",03-03-1982,05:44:00,Molniya-M /Block 2BL,Cosmos 1341,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",04-03-1982,16:41:00,Cosmos-3M (11K65M),Ta??foun n†­27,Retired,,Failure
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",05-03-1982,00:23:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -504,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",06-03-1982,19:25:00,Titan III(23)C,DSP-10,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",22-03-1982,16:00:00,Space Shuttle Columbia,STS-3,Retired,450,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",24-03-1982,00:12:00,Molniya-M /Block ML,Molniya-3 n†­98,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-03-1982,09:47:00,Cosmos-3M (11K65M),Cosmos 1344,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",25-03-1982,09:50:00,Tsyklon-3,Meteor-2 n†­8,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",31-03-1982,09:00:00,Cosmos-3M (11K65M),Cosmos 1345,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",31-03-1982,16:27:00,Vostok-2M,Cosmos 1346,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",07-04-1982,13:41:00,Molniya-M /Block 2BL,Cosmos 1348,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",08-04-1982,00:15:00,Cosmos-3M (11K65M),Cosmos 1349,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",21-04-1982,01:40:00,Cosmos-3M (11K65M),Cosmos 1351,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-04-1982,02:52:00,Cosmos-3M (11K65M),Cosmos 1354,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",29-04-1982,09:55:00,Tsyklon-2,Cosmos 1355,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",05-05-1982,08:01:00,Vostok-2M,Cosmos 1356,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-05-1982,18:07:00,Cosmos-3M (11K65M),Cosmos 1357 to 1364,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",11-05-1982,18:45:00,Titan IIID,KH-9 & SSF-D-4,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14-05-1982,19:39:00,Tsyklon-2,Cosmos 1365,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",20-05-1982,13:08:00,Molniya-M /Block 2BL,Cosmos 1367,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",28-05-1982,22:02:00,Molniya-M /Block ML,Molniya-1 n†­99,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",01-06-1982,04:37:00,Cosmos-3M (11K65M),Cosmos 1371,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",01-06-1982,13:58:00,Tsyklon-2,Cosmos 1372,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",03-06-1982,21:30:00,Cosmos-3MRB (65MRB),Cosmos 1374 (BOR-4 Space Shuttle),Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-06-1982,17:10:00,Cosmos-3M (11K65M),Cosmos 1375,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",10-06-1982,17:37:00,Tsyklon-3,Cosmos 1378,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",18-06-1982,11:04:00,Tsyklon-2,Cosmos 1379,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",18-06-1982,11:58:00,Cosmos-3M (11K65M),Cosmos 1380,Retired,,Partial Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",25-06-1982,02:28:00,Molniya-M /Block 2BL,Cosmos 1382,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",27-06-1982,16:09:00,Space Shuttle Columbia,STS-4,Retired,450,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",29-06-1982,21:45:00,Cosmos-3M (11K65M),Cosmos 1383,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",07-07-1982,09:47:00,Cosmos-3M (11K65M),Cosmos 1386,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",21-07-1982,06:31:00,Cosmos-3M (11K65M),Cosmos 1388 to 1395,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",21-07-1982,09:40:00,Molniya-M /Block ML,Molniya-1 n†­100,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",29-07-1982,19:40:00,Cosmos-3M (11K65M),Cosmos 1397,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",02-08-1982,00:01:00,Tsyklon-2,Cosmos 1412,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",05-08-1982,06:56:00,Vostok-2M,Cosmos 1400,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27-08-1982,00:02:00,Molniya-M /Block ML,Molniya-3 n†­101,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",30-08-1982,10:06:00,Tsyklon-2,Cosmos 1402,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",30-08-1982,19:55:00,Cosmos-3M (11K65M),Strela-2M satellite,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",03-09-1982,05:00:00,N-I,Kiku 4,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",04-09-1982,17:50:00,Tsyklon-2,Cosmos 1405,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",09-09-1982,02:12:00,Ariane 1,MARCES-B & Sirio-2,Retired,,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",09-09-1982,07:19:00,Long March 2C,FSW-0 No.4,Active,30.8,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",16-09-1982,04:55:00,Tsyklon-3,Cosmos 1408,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",22-09-1982,06:23:00,Molniya-M /Block 2BL,Cosmos 1409,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",24-09-1982,09:15:00,Tsyklon-3,Cosmos 1410,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",28-09-1982,23:17:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -505,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",19-10-1982,05:58:00,Cosmos-3M (11K65M),Cosmos 1417,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",21-10-1982,14:00:00,Cosmos-3M (11K65M),Cosmos 1418,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",30-10-1982,,Titan 34D,DSCS-II-15 + DSCS-III-A1,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",11-11-1982,06:14:00,Cosmos-3M (11K65M),Cosmos 1420,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",11-11-1982,12:19:00,Space Shuttle Columbia,STS-5,Retired,450,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",17-11-1982,21:22:00,Titan IIID,KH-11,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-11-1982,11:00:00,Cosmos-3M (11K65M),Strela-1M satellites,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",08-12-1982,13:46:00,Molniya-M /Block ML,Cosmos 1423,Retired,,Partial Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14-12-1982,22:30:00,Vostok-2M,Meteor-2 n†­10,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",21-12-1982,02:38:00,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F6,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",29-12-1982,12:00:00,Cosmos-3M (11K65M),Cosmos 1427,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",12-01-1983,14:02:00,Cosmos-3M (11K65M),Cosmos 1428,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",19-01-1983,02:25:00,Cosmos-3M (11K65M),Cosmos 1429 to 1436,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",20-01-1983,17:26:00,Vostok-2M,Cosmos 1437,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25-01-1983,12:00:00,Cosmos-3M (11K65M),Ta??foun n†­32,Retired,,Failure
MHI,"LA-Y1, Tanegashima Space Center, Japan",04-02-1983,08:37:00,N-II Star-37E,Sakura 2a,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",09-02-1983,13:47:00,Atlas-H MSD,NOSS-5,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",16-02-1983,10:03:00,Vostok-2M,Cosmos 1441,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",20-02-1983,05:10:00,Mu-III S,Tenma,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11-03-1983,15:29:00,Molniya-M /Block ML,Molniya-3 n†­103,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",15-03-1983,22:30:00,Cosmos-3MRB (65MRB),Cosmos 1445 (BOR-4 Space Shuttle),Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",16-03-1983,18:14:00,Molniya-M /Block ML,Molniya-1 n†­104,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",24-03-1983,20:55:00,Cosmos-3M (11K65M),Cosmos 1447,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",28-03-1983,15:52:00,Atlas-E/F Star-37S-ISS,NOAA-E,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",30-03-1983,01:10:00,Cosmos-3M (11K65M),Cosmos 1448,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02-04-1983,02:02:00,Molniya-M /Block ML,Molniya-1 n†­105,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",04-04-1983,18:30:00,Space Shuttle Challenger,STS-6,Retired,450,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",06-04-1983,12:00:00,Cosmos-3M (11K65M),Cosmos 1450,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",12-04-1983,18:20:00,Cosmos-3M (11K65M),Cosmos 1452,Retired,,Success
ISRO,"SLV LP, Satish Dhawan Space Centre, India",17-04-1983,05:44:00,SLV-3,Rohini RS-D2,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",17-04-1983,18:45:00,Titan III(24)B,OPS 2925,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",19-04-1983,12:00:00,Cosmos-3M (11K65M),Cosmos 1453,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",23-04-1983,14:30:00,Tsyklon-3,Cosmos 1455,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",25-04-1983,19:33:00,Molniya-M /Block 2BL,Cosmos 1456,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",04-05-1983,,Cosmos-3MRB (65MRB),BOR-5 Shuttle,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",06-05-1983,03:00:00,Cosmos-3M (11K65M),Cosmos 1459,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",07-05-1983,10:30:00,Tsyklon-2,Cosmos 1461,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",19-05-1983,12:00:00,Cosmos-3M (11K65M),Cosmos 1463,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",19-05-1983,22:26:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -506,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-05-1983,02:59:00,Cosmos-3M (11K65M),Cosmos 1464,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",26-05-1983,05:00:00,Cosmos-3M (11K65M),Cosmos 1465,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",09-06-1983,23:23:00,Atlas-H MSD,NOSS-6,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",16-06-1983,11:59:00,Ariane 1,ECS 1 & Oscar-10,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",18-06-1983,11:33:00,Space Shuttle Challenger,STS-7,Retired,450,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",20-06-1983,18:45:00,Titan 34D,OPS-0721 (KH-9),Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",22-06-1983,23:58:00,Tsyklon-3,Cosmos 1470,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",01-07-1983,,Molniya-M /Block SO-L,Prognoz n†­9,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-07-1983,00:31:00,Cosmos-3M (11K65M),Cosmos 1473 to 1480,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",08-07-1983,19:21:00,Molniya-M /Block 2BL,Cosmos 1481,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",14-07-1983,10:21:00,Atlas-E/F SGS-2,GPS-8,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",19-07-1983,15:14:00,Molniya-M /Block ML,Molniya-1 n†­106,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",24-07-1983,05:50:00,Vostok-2M,Cosmos 1484,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",31-07-1983,15:41:00,Titan III(34)B Agena-D,Jumpseat 7,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",03-08-1983,12:40:00,Cosmos-3M (11K65M),Cosmos 1486,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",05-08-1983,20:29:00,N-II Star-37E,Sakura 2b,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",19-08-1983,06:00:00,Long March 2C,FSW-0 No.5,Active,30.8,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",30-08-1983,22:49:00,Molniya-M /Block ML,Molniya-3 n†­107,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",31-08-1983,06:30:00,Cosmos-3M (11K65M),Cosmos 1494,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",05-09-1983,07:40:00,Space Shuttle Challenger,STS-8,Retired,450,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",28-09-1983,07:59:00,Tsyklon-3,Cosmos 1500,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",30-09-1983,11:00:00,Cosmos-3M (11K65M),Cosmos 1501,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",05-10-1983,12:00:00,Cosmos-3M (11K65M),Cosmos 1502,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",12-10-1983,00:20:00,Cosmos-3M (11K65M),Cosmos 1503,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",19-10-1983,00:45:00,Ariane 1,Intelsat 507,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",26-10-1983,17:20:00,Cosmos-3M (11K65M),Cosmos 1506,Retired,,Success
